2017/05/22 08:56:27 [error] 545#0: *2562 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 27 in /var/www/site/vue/admin/pages/supervision.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_utilisateurs HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=connexion"
2017/05/22 08:56:32 [error] 545#0: *2562 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 27 in /var/www/site/vue/admin/pages/supervision.php on line 123" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_utilisateurs HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_projets"
2017/05/22 09:18:13 [error] 545#0: *2575 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined variable: i in /var/www/site/modele/utilisateurs.php on line 9" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:18:13 [error] 545#0: *2575 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 0 in /var/www/site/vue/admin/pages/projets.php on line 122
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 122" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:19:07 [error] 545#0: *2575 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined variable: i in /var/www/site/modele/utilisateurs.php on line 9" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:19:07 [error] 545#0: *2575 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 0 in /var/www/site/vue/admin/pages/projets.php on line 122
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 122" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:21:36 [error] 545#0: *2583 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined variable: i in /var/www/site/modele/utilisateurs.php on line 9" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:21:36 [error] 545#0: *2583 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 0 in /var/www/site/vue/admin/pages/projets.php on line 121
PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 121" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:23:28 [error] 545#0: *2590 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 121" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:28:21 [error] 545#0: *2597 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'checkbox' (T_STRING) in /var/www/site/modele/utilisateurs.php on line 10" while reading response header from upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
2017/05/22 09:29:03 [error] 545#0: *2597 FastCGI sent in stderr: "PHP message: PHP Notice:  Undefined offset: 1 in /var/www/site/vue/admin/pages/projets.php on line 121" while reading upstream, client: 92.103.197.250, server: 10.10.10.156, request: "GET /index.php?page=admin_projets HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "88.177.168.133:2236", referrer: "http://88.177.168.133:2236/index.php?page=admin_utilisateurs"
